time	V(n003)*10
0.000000000000000e+00	2.365666e-17
3.571428571438340e-09	4.203103e-17
7.142857142876679e-09	5.367707e-17
1.071428571431502e-08	5.859478e-17
1.428571428575336e-08	5.678416e-17
1.785714285719170e-08	4.824521e-17
2.142857142863004e-08	3.297793e-17
2.500000000006837e-08	1.098233e-17
4.500000000016643e-08	-2.869939e-18
6.500000000026450e-08	-1.740096e-17
8.500000000036256e-08	-2.017690e-17
1.050000000004606e-07	-2.056908e-17
1.250000000005587e-07	-2.030672e-17
1.450000000006568e-07	1.306251e-17
1.650000000007548e-07	2.529074e-19
1.850000000008529e-07	2.711875e-19
2.050000000009509e-07	-4.564940e-19
2.250000000010490e-07	-4.248172e-21
2.450000000011471e-07	7.532221e-20
2.650000000012451e-07	8.035391e-20
2.850000000013432e-07	1.079496e-19
3.050000000014413e-07	9.771070e-20
3.250000000015393e-07	-5.408229e-19
3.450000000016374e-07	6.231167e-19
3.650000000017355e-07	-4.561947e-19
3.850000000018335e-07	-5.407928e-21
4.050000000019316e-07	8.212363e-20
4.250000000020297e-07	8.405428e-20
4.450000000021277e-07	1.087705e-19
4.650000000022258e-07	9.769763e-20
4.850000000023239e-07	-5.408360e-19
5.050000000024219e-07	6.231297e-19
5.250000000025200e-07	-4.562078e-19
5.450000000026180e-07	2.758319e-20
5.650000000027161e-07	4.781322e-21
5.850000000028142e-07	4.294186e-22
6.050000000029122e-07	-1.699462e-22
6.250000000030103e-07	-2.090362e-22
6.450000000031084e-07	-1.699482e-22
6.650000000032064e-07	-1.960084e-22
6.850000000033045e-07	-2.090391e-22
7.050000000034026e-07	-1.829809e-22
7.250000000035006e-07	-2.090412e-22
7.450000000035987e-07	-1.829830e-22
7.650000000036968e-07	6.220132e-20
7.850000000037948e-07	7.686194e-20
8.050000000038929e-07	1.081972e-19
8.250000000039909e-07	9.814067e-20
8.450000000040890e-07	-5.407187e-19
8.650000000041871e-07	6.231297e-19
8.850000000042851e-07	-4.561687e-19
9.050000000043832e-07	-5.434005e-21
9.250000000044813e-07	8.212361e-20
9.450000000045793e-07	8.402821e-20
9.650000000046774e-07	1.087444e-19
9.850000000047755e-07	9.771065e-20
1.005000000004874e-06	-5.408491e-19
1.025000000004972e-06	6.231297e-19
1.045000000005070e-06	-4.561557e-19
1.065000000005168e-06	-5.394955e-21
1.085000000005266e-06	8.209751e-20
1.105000000005364e-06	8.404119e-20
1.125000000005462e-06	1.087052e-19
1.145000000005560e-06	9.772363e-20
1.165000000005658e-06	-5.408882e-19
1.185000000005756e-06	1.822836e-19
1.205000000005854e-06	1.665125e-20
1.225000000005952e-06	1.289320e-21
1.245000000006050e-06	-2.667455e-23
1.265000000006148e-06	-1.700016e-22
1.285000000006246e-06	-1.700024e-22
1.305000000006344e-06	-1.960626e-22
1.325000000006443e-06	-1.960637e-22
1.345000000006541e-06	-2.351539e-22
1.365000000006639e-06	-2.090956e-22
1.385000000006737e-06	6.217521e-20
1.405000000006835e-06	7.691401e-20
1.425000000006933e-06	1.082492e-19
1.445000000007031e-06	9.815364e-20
1.465000000007129e-06	-5.406927e-19
1.485000000007227e-06	6.231166e-19
1.505000000007325e-06	-4.561557e-19
1.525000000007423e-06	-5.447086e-21
1.545000000007521e-06	8.213660e-20
1.565000000007619e-06	8.400210e-20
1.585000000007717e-06	1.087052e-19
1.605000000007815e-06	9.771060e-20
1.625000000007914e-06	-5.408231e-19
1.645000000008012e-06	6.231166e-19
1.665000000008110e-06	-4.561688e-19
1.685000000008208e-06	-5.473186e-21
1.705000000008306e-06	8.214958e-20
1.725000000008404e-06	8.402812e-20
1.745000000008502e-06	1.087182e-19
1.765000000008600e-06	9.773662e-20
1.785000000008698e-06	-5.408361e-19
1.805000000008796e-06	1.822966e-19
1.825000000008894e-06	1.658605e-20
1.845000000008992e-06	1.328357e-21
1.865000000009090e-06	-5.278573e-23
1.885000000009188e-06	-2.091425e-22
1.905000000009286e-06	-1.830843e-22
1.925000000009384e-06	-1.961149e-22
1.945000000009483e-06	-2.091456e-22
1.965000000009581e-06	-2.352059e-22
1.985000000009679e-06	-2.612665e-22
2.005000000009777e-06	-1.961192e-22
2.025000000009875e-06	6.216213e-20
2.045000000009973e-06	7.692698e-20
2.065000000010071e-06	1.081971e-19
2.085000000010169e-06	9.812753e-20
2.105000000010267e-06	-5.407058e-19
2.125000000010365e-06	6.231426e-19
2.145000000010463e-06	-4.562079e-19
2.165000000010561e-06	-5.434111e-21
2.185000000010659e-06	8.213654e-20
2.205000000010757e-06	8.404113e-20
2.225000000010855e-06	1.087182e-19
2.245000000010954e-06	9.771054e-20
2.265000000011052e-06	-5.408492e-19
2.285000000011150e-06	6.231296e-19
2.305000000011248e-06	-4.561819e-19
2.325000000011346e-06	6.488252e-19
2.345000000011444e-06	-4.424473e-19
2.365000000011542e-06	-2.224319e-20
2.385000000011640e-06	7.829573e-20
2.405000000011738e-06	1.126929e-19
2.425000000011836e-06	-3.928497e-20
2.445000000011934e-06	-2.723803e-21
2.465000000012032e-06	-3.263506e-22
2.485000000012130e-06	-1.830254e-22
2.505000000012228e-06	-2.090857e-22
2.525000000012326e-06	-2.090868e-22
2.545000000012424e-06	-1.960582e-22
2.565000000012523e-06	-1.830295e-22
2.585000000012621e-06	-1.830305e-22
2.605000000012719e-06	-1.960612e-22
2.625000000012817e-06	-5.731502e-19
2.645000000012915e-06	6.433643e-19
2.665000000013013e-06	-4.405205e-19
2.685000000013111e-06	6.530727e-19
